 set,,,GENERAL INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,NAME,US TIER LIST,US,UK,CA,MX,DE,IT,ES,FR,SE,PL,NL,TR,JP,ASIN (US/CA/MX),SKU (US/CA/MX),"PRODUCT INDENTIFIER
(US/CA/MX)",FNSKU (US/CA/MX),UPC (US),UPC (CA),UPC (MX),"PRODUCT BARCODE 
(US/CA/MX)",GTIN,ASIN (UK/TR),SKU (UK),"PRODUCT INDENTIFIER
(UK)",FNSKU (UK),UPC/ EAN (UK),"PRODUCT BARCODE 
(UK)",ASIN (EU/TR),SKU (EU),"PRODUCT INDENTIFIER
(EU)",FNSKU (EU),UPC (EU),"PRODUCT BARCODE 
(EU)",ASIN (JP),"PRODUCT INDENTIFIER
(JP)",FNSKU (JP),UPC (JP),"PRODUCT BARCODE 
(JP)",CARE LABELS US,CARE LABELS CA,CARE LABELS UK,CARE LABELS EU,SHORT NAME,,UPLOADED ON AMZ,,,,,,,,,,,,,UPLOADED ON YT
11,"Back Cushion 
Gel Infused",BRONZE,https://www.amazon.com/dp/B07JQ2MG99,https://www.amazon.co.uk/dp/B07JQ2MG99,https://www.amazon.ca/dp/B07JQ2MG99,https://www.amazon.com.mx/dp/B07JQ2MG99,https://www.amazon.de/dp/B07JQ2MG99,https://www.amazon.it/dp/B07JQ2MG99,https://www.amazon.es/dp/B07JQ2MG99,https://www.amazon.fr/dp/B07JQ2MG99,-,-,-,-,https://www.amazon.co.jp/dp/B07JQ2MG99,B07JQ2MG99,BC-GI,FNSKU,X001XMUHNF,810062780013,810062780013,810062780013,BC-Gel barcode,00810062780013,B07JQ2MG99,BC-GI,FNSKU,X001CXFFS9,810062780013,BC-GI barcode,B07JQ2MG99,BC-GI,FNSKU,X001CXFFS9,B07JQ2MG99,BC-GI barcode,,,,,,https://docs.google.com/document/d/1kKaxePE5234xmW6WXB73y3g_RCs9iEf2oO0YrCrKrZg/edit?usp=sharing,https://docs.google.com/document/d/1w0CIk6COcyQ05ajxkaDeB5R-t48_afk4jXGK_x6uZoY/edit?usp=sharing,https://docs.google.com/document/d/1Eef6acmtuBySpU_hwHxqdVqj_Sq0PRnQzvoG0ylkPms/edit?usp=sharing,-,BC-GI,BC-GI,YES,NO,YES,NO,NO,NO,NO,NO,-,-,-,-,NO,YES
12,Armrest Pads,PLATINUM,https://www.amazon.com/dp/B089Q9D5W9,https://www.amazon.co.uk/dp/B089Q9D5W9,https://www.amazon.ca/dp/B089Q9D5W9,https://www.amazon.com.mx/dp/B089Q9D5W9,https://www.amazon.de/dp/B089Q9D5W9,https://www.amazon.it/dp/B089Q9D5W9,https://www.amazon.es/dp/B089Q9D5W9,https://www.amazon.fr/dp/B089Q9D5W9,https://www.amazon.pl/dp/B089Q9D5W9,https://www.amazon.pl/dp/B089Q9D5W9,https://www.amazon.nl/dp/B089Q9D5W9,-,https://www.amazon.co.jp/dp/B089Q9D5W9,B089Q9D5W9,ARP,FNSKU,X002JJDZD5,850004566794,850004566794,850004566794,ARP barcode,00850004566794,B089Q9D5W9,ARP,FNSKU,X0019FYNYR,850004566794,ARP barcode,B089Q9D5W9,ARP,FNSKU,X0019FYNYR,B089Q9D5W9,ARP barcode,B089Q9D5W9,FNSKU,X000Z2FEPT,850004566794,file,https://docs.google.com/document/d/1eegjkzJqAGmrhw_EwjLvvxIxga5jiI8q6li2zVB-mSY/edit?usp=sharing,https://docs.google.com/document/d/1w0CIk6COcyQ05ajxkaDeB5R-t48_afk4jXGK_x6uZoY/edit?usp=sharing,https://docs.google.com/document/d/1xAZEOO3i6Gv4K1dQ0jcaFf87aw67v7R5X8Rv2XFJ0LU/edit?usp=sharing,-,ARP,ARP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,YES
13,Bath Pillow,BRONZE,https://www.amazon.com/dp/B08BHP37DW,https://www.amazon.co.uk/dp/B08BHP37DW,https://www.amazon.ca/dp/B08BHP37DW,https://www.amazon.com.mx/dp/B08BHP37DW,https://www.amazon.de/dp/B08BHP37DW,https://www.amazon.it/dp/B08BHP37DW,https://www.amazon.es/dp/B08BHP37DW,https://www.amazon.fr/dp/B08BHP37DW,https://www.amazon.pl/dp/B08BHP37DW,https://www.amazon.pl/dp/B08BHP37DW,https://www.amazon.nl/dp/B08BHP37DW,https://www.amazon.com.tr/dp/B08BHP37DW,https://www.amazon.co.jp/dp/B08BHP37DW,B08BHP37DW,BP,FNSKU,X002KW3PIB,850004566800,850004566800,850004566800,BP barcode,00850004566800,B08BHP37DW,BP,FNSKU,X001BYLUMT,850004566800,BP barcode,B08BHP37DW,BP-NEW,FNSKU,X001BYLUMT,B08BHP37DW,BP-NEW barcode,B08BHP37DW,FNSKU,X000YA7OOV,850004566800,file,https://docs.google.com/document/d/1JdKlvAabQEvUOgsP-mC7K6GEwbwrIXtzMfcZeh9DK98/edit?usp=sharing,-,-,-,BP,BP,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
14,Underbed Storage Bags,DIRT,https://www.amazon.com/dp/B08V3S96CW,https://www.amazon.co.uk/dp/B08V3S96CW,https://www.amazon.ca/dp/B08V3S96CW,https://www.amazon.com.mx/dp/B08V3S96CW,https://www.amazon.de/dp/B08V3S96CW,https://www.amazon.it/dp/B08V3S96CW,https://www.amazon.es/dp/B08V3S96CW,https://www.amazon.fr/dp/B08V3S96CW,-,-,-,-,-,B08V3S96CW,UBSB,UPC,B08V3S96CW,850004566893,850004566893,850004566893,UBSB barcode,-,B08V3S96CW,UBSB,UPC,B08V3S96CW,850004566893,UBSB barcode,B08V3S96CW,-,-,-,-,,,,,,,-,-,-,-,UBSB,UBSB,NO,NO,NO,NO,NO,NO,NO,NO,-,-,-,-,-,NO
15,Ergonomic Mouse Pad ,PLATINUM,https://www.amazon.com/dp/B08TPNXDTR,https://www.amazon.co.uk/dp/,https://www.amazon.ca/dp/B08TPNXDTR,https://www.amazon.com.mx/dp/B08TPNXDTR,https://www.amazon.de/dp/,https://www.amazon.it/dp/,https://www.amazon.es/dp/,https://www.amazon.fr/dp/,https://www.amazon.pl/dp/,-,https://www.amazon.nl/dp/,-,-,B08TPNXDTR,EMP,UPC,B08TPNXDTR,850004566862,850004566862,850004566862,EMP-Black barcode,00850004566862,,-,-,-,-,,B08TPNXDTR,-,-,-,-,,,,,,,-,-,-,-,EMP,EMP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
16,Insulated Cooler Backpack,PLATINUM,https://www.amazon.com/dp/B08V3YJQ15,https://www.amazon.co.uk/dp/B08V3YJQ15,https://www.amazon.ca/dp/B08V3YJQ15,https://www.amazon.com.mx/dp/B08V3YJQ15,https://www.amazon.de/dp/B08V3YJQ15,https://www.amazon.it/dp/B08V3YJQ15,https://www.amazon.es/dp/B08V3YJQ15,https://www.amazon.fr/dp/B08V3YJQ15,https://www.amazon.pl/dp/B08V3YJQ15,-,https://www.amazon.nl/dp/B08V3YJQ15,-,https://www.amazon.co.jp/dp/B08V3YJQ15,B08V3YJQ15,CB,UPC,B08V3YJQ15,850004566886,850004566886,850004566886,CB barcode,00850004566886,B08V3YJQ15,CB-G,UPC,B08V3YJQ15,850004566886,CB-G barcode,B08V3YJQ15,-,-,-,-,,,,,,,https://docs.google.com/document/d/15E4Yd1CkKF3hXdXG80HTH7Xm9CCz376o16jln7gAdnQ/edit?usp=sharing,-,-,-,CB,CB,YES,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,-,NO,NO
17,Donut Pillow Cushion,PLATINUM,https://www.amazon.com/dp/B092MW72T7,-,https://www.amazon.ca/dp/B092MW72T7,https://www.amazon.com.mx/dp/B092MW72T7,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B092MW72T7,B092MW72T7,DC,UPC,B092MW72T7,850004566954,850004566954,850004566954,DC barcode,00850004566954,B092MW72T7,-,-,-,-,,B092MW72T7,-,-,-,-,,B092MW72T7,FNSKU,X000Z2F9GD,850004566954,file,https://docs.google.com/document/d/1Lai2XBufk7ePlBhztxk__9BhHrdraDDcuvMsI80G6G4/edit?usp=sharing,https://docs.google.com/document/d/1gCrVEJP0XZbF4ODKgeJHGZ5byNAQGGg6-1f49Vm65yM/edit?usp=sharing,-,-,DC,DC,NO,-,NO,NO,-,-,-,-,-,-,-,-,NO,NO
18,Bed Wedge Pillow,DIRT,https://www.amazon.com/dp/B08ZWPTNVS,-,-,https://www.amazon.com.mx/dp/B08ZWPTNVS,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B08ZWPTNVS,B08ZWPTNVS,BWP,FNSKU,X002Y7UHAV,850004566947,850004566947,850004566947,BWP barcode,00850004566947,B08ZWPTNVS,-,-,-,-,,B08ZWPTNVS,-,-,-,-,,,,,,,https://docs.google.com/document/d/1A1yC4iUYU_Lvz3czpT_GqV7RYNGKPpnkuvYvdNjEfIE/edit?usp=sharing,https://docs.google.com/document/d/1kG4WNMW5Qo2yJ6hoVD2iFttJsX7KZFbktUnICl3BoHw/edit?usp=sharing,-,-,BWP,BWP,NO,-,-,NO,-,-,-,-,-,-,-,-,NO,NO
19,"Seat Cushion & 
Back Cushion",,https://www.amazon.com/dp/B087YZYND1,-,-,-,-,-,-,-,-,-,-,-,-,B087YZYND1,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,SC&BC,SC&BC,NO,-,-,-,-,-,-,-,-,-,-,-,-,-
20,"Gel Infused Seat Cushion &
Memory Foam Back Cushion",,https://www.amazon.com/dp/B08B6C32DH,-,-,-,-,-,-,-,-,-,-,-,-,B08B6C32DH,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,,,,,,-,-,-,-,SC GI & BC,SC GI & BC,NO,-,-,-,-,-,-,-,-,-,-,-,-,-
21,"Pillow Protector
King -2 pack",BRONZE,https://www.amazon.com/dp/B01MDRY1M3,-,https://www.amazon.ca/dp/B01MDRY1M3,https://www.amazon.com.mx/dp/B01MDRY1M3,https://www.amazon.de/dp/B01MDRY1M3,https://www.amazon.it/dp/B01MDRY1M3,https://www.amazon.es/dp/B01MDRY1M3,https://www.amazon.fr/dp/B01MDRY1M3,-,-,-,https://www.amazon.com.tr/dp/B01MDRY1M3,https://www.amazon.co.jp/dp/B01MDRY1M3,B01MDRY1M3,ECPP-K,FNSKU,X0018T4WMP,675595199097,675595199097,675595199097,PP-K 2pack,00810062780242,B01MDRY1M3,ECPP-K,FNSKU,X001CXFG3X,675595199097,ECPP-K barcode,B01MDRY1M3,ECPP-K,FNSKU,X001CXFG3X,675595199097,ECPP-K barcode,,,,,,https://docs.google.com/document/d/1kWOFzqCiPX3y6o_o9gGkENWNPk-AAt1JapdhKDRl7Pk/edit?usp=sharing,https://docs.google.com/document/d/19v_-yZqhKEDAgN3UsRCiBeOMeUGhR2I-b1Y3_FF2kZg/edit?usp=sharing,-,-,PP-K,PP,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,YES
21,"Pillow Protector
Queen -2 pack",BRONZE,https://www.amazon.com/dp/B01MG60G71,https://www.amazon.co.uk/dp/B01MG60G71,https://www.amazon.ca/dp/B01MG60G71,https://www.amazon.com.mx/dp/B01MG60G71,https://www.amazon.de/dp/B01MG60G71,https://www.amazon.it/dp/B01MG60G71,https://www.amazon.es/dp/B01MG60G71,https://www.amazon.fr/dp/B01MG60G71,-,-,-,https://www.amazon.com.tr/dp/B01MG60G71,https://www.amazon.co.jp/dp/B01MG60G71,B01MG60G71,ECPP-Q,FNSKU,X0018RHGBV,675595199080,675595199080,675595199080,PP-Q 2pack,00810062780235,B01MG60G71,ECPP-Q,FNSKU,X001CXFD2R,675595199080,ECPP-Q barcode,B01MG60G71,ECPP-Q,FNSKU,X001CXFD2R,675595199080,ECPP-Q barcode,,,,,,https://docs.google.com/document/d/1ehD80K5HQ4AzcrZI8y3yR6Ue5QgcOVC4m_69eB1j124/edit?usp=sharing,https://docs.google.com/document/d/1EXbAGK-CYBsttdTS2bLse0b4f3jp6bWfh0Zxqu1HZNM/edit?usp=sharing,-,-,PP-Q,PP,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,
21,"Pillow Protector
Standard -2 pack",BRONZE,https://www.amazon.com/dp/B01M4OR62M,https://www.amazon.co.uk/dp/B01M4OR62M,https://www.amazon.ca/dp/B01M4OR62M,https://www.amazon.com.mx/dp/B01M4OR62M,https://www.amazon.de/dp/B01M4OR62M,https://www.amazon.it/dp/B01M4OR62M,https://www.amazon.es/dp/B01M4OR62M,https://www.amazon.fr/dp/B01M4OR62M,-,-,-,https://www.amazon.com.tr/dp/B01M4OR62M,https://www.amazon.co.jp/dp/B01M4OR62M,B01M4OR62M,ECPP-S,FNSKU,X0018UG9E3,675595199073,675595199073,675595199073,PP-S 2pack,00810062780228,B01M4OR62M,ECPP-S,FNSKU,X0010A4ZIF,675595199073,ECPP-S barcode,B01M4OR62M,ECPP-S,FNSKU,X0010A4ZIF,675595199073,ECPP-S barcode,,,,,,https://docs.google.com/document/d/1ehD80K5HQ4AzcrZI8y3yR6Ue5QgcOVC4m_69eB1j124/edit?usp=sharing,https://docs.google.com/document/d/1EXbAGK-CYBsttdTS2bLse0b4f3jp6bWfh0Zxqu1HZNM/edit?usp=sharing,-,-,PP-S,PP,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,
21,"Pillow Protector
King -4 pack",BRONZE,https://www.amazon.com/dp/B07QMVGWQN,https://www.amazon.co.uk/dp/B07QMVGWQN,-,https://www.amazon.com.mx/dp/B07QMVGWQN,https://www.amazon.de/dp/B07QMVGWQN,https://www.amazon.it/dp/B07QMVGWQN,https://www.amazon.es/dp/B07QMVGWQN,https://www.amazon.fr/dp/B07QMVGWQN,-,-,-,https://www.amazon.com.tr/dp/B07QMVGWQN,https://www.amazon.co.jp/dp/B07QMVGWQN,B07QMVGWQN,PP-K4,FNSKU,X0024D9A8P,810062780006,810062780006,810062780006,PP-K 4pack,00810062780006,B07QMVGWQN,PP-K4,FNSKU,X001CXFG65,810062780006,PP-K4 barcode,B07QMVGWQN,PP-K4,FNSKU,X001CXFG65,810062780006,PP-K4 barcode,,,,,,https://docs.google.com/document/d/1ehD80K5HQ4AzcrZI8y3yR6Ue5QgcOVC4m_69eB1j124/edit?usp=sharing,https://docs.google.com/document/d/1EXbAGK-CYBsttdTS2bLse0b4f3jp6bWfh0Zxqu1HZNM/edit?usp=sharing,-,-,PP-K4,PP,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,
21,"Pillow Protector
Queen -4 pack",BRONZE,https://www.amazon.com/dp/B07QR24QSJ,https://www.amazon.co.uk/dp/B07QR24QSJ,-,-,https://www.amazon.de/dp/B07QR24QSJ,https://www.amazon.it/dp/B07QR24QSJ,https://www.amazon.es/dp/B07QR24QSJ,https://www.amazon.fr/dp/B07QR24QSJ,-,-,-,https://www.amazon.com.tr/dp/B07QR24QSJ,https://www.amazon.co.jp/dp/B07QR24QSJ,B07QR24QSJ,PP-Q4,FNSKU,X0024F4GT1,850004566145,850004566145,850004566145,PP-Q 4pack,00810062781058,B07QR24QSJ,PP-Q4,FNSKU,X001CXC83T,850004566145,PP-Q4 barcode,B07QR24QSJ,PP-Q4,FNSKU,X001CXC83T,850004566145,PP-Q4 barcode,,,,,,https://docs.google.com/document/d/1ehD80K5HQ4AzcrZI8y3yR6Ue5QgcOVC4m_69eB1j124/edit?usp=sharing,https://docs.google.com/document/d/1EXbAGK-CYBsttdTS2bLse0b4f3jp6bWfh0Zxqu1HZNM/edit?usp=sharing,-,-,PP-Q4,PP,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,
21,"Pillow Protector
Standard -4 pack",BRONZE,https://www.amazon.com/dp/B07QR1SSBP,https://www.amazon.co.uk/dp/B07QR1SSBP,-,https://www.amazon.com.mx/dp/B07QR1SSBP,https://www.amazon.de/dp/B07QR1SSBP,https://www.amazon.it/dp/B07QR1SSBP,https://www.amazon.es/dp/B07QR1SSBP,https://www.amazon.fr/dp/B07QR1SSBP,-,-,-,https://www.amazon.com.tr/dp/B07QR1SSBP,https://www.amazon.co.jp/dp/B07QR1SSBP,B07QR1SSBP,PP-S4,FNSKU,X0024E347H,850004566138,850004566138,850004566138,PP-S 4pack,00810062781065,B07QR1SSBP,PP-S4,FNSKU,X001CXFE71,850004566138,PP-S4 barcode,B07QR1SSBP,PP-S4,FNSKU,X001CXFE71,850004566138,PP-S4 barcode,,,,,,https://docs.google.com/document/d/1ehD80K5HQ4AzcrZI8y3yR6Ue5QgcOVC4m_69eB1j124/edit?usp=sharing,https://docs.google.com/document/d/1EXbAGK-CYBsttdTS2bLse0b4f3jp6bWfh0Zxqu1HZNM/edit?usp=sharing,-,-,PP-S4,PP,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,
22,"Mattress Protector
Twin (US/CA/SG/MX)",BRONZE,https://www.amazon.com/dp/B074V5MQQK,-,https://www.amazon.ca/dp/B074V5MQQK,https://www.amazon.com.mx/dp/B074V5MQQK,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B074V5MQQK,B074V5MQQK,EC-MPT,FNSKU,X001JGJOK7,046728408346,046728408346,046728408346,MP-T barcode,00810062780464,-,-,,-,-,,-,-,-,-,-,-,,,,,,https://docs.google.com/document/d/1crPDt5wWmaoByHw9VIfqNsAP9oqgIKdpeEIUbdpfM0I/edit?usp=sharing,https://docs.google.com/document/d/1ErnMqFSyQMVP7IshULD8QV-RP2ISjC6aAy4Nt7NlCeQ/edit?usp=sharing,-,-,MP-T,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
22,"Mattress Protector
Twin XL (US/CA/SG/MX)",BRONZE,https://www.amazon.com/dp/B074V4DPW8,-,https://www.amazon.ca/dp/B074V4DPW8,https://www.amazon.com.mx/dp/B074V4DPW8,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B074V4DPW8,B074V4DPW8,EC-MPTXL,FNSKU,X001JGXU25,046728408353,046728408353,046728408353,MP-TXL barcode,00810062780471,-,-,,-,-,,-,-,-,-,-,-,,,,,,https://docs.google.com/document/d/1Rb7aqMbtGSJGW1-5kfCkVxHB2-o8X1tUI0VO-OJ8xQc/edit?usp=sharing,https://docs.google.com/document/d/1p091LvlA_u4aH8XDxDpPDVr8TOGfHAaCytX38IfyBsI/edit?usp=sharing,-,-,MP-TXL,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,"Mattress Protector
Full (US/CA/SG/MX)",BRONZE,https://www.amazon.com/dp/B074V4XHDL,-,https://www.amazon.ca/dp/B074V4XHDL,https://www.amazon.com.mx/dp/B074V4XHDL,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B074V4XHDL,B074V4XHDL,EC-MPF,FNSKU,X001JGWXMN,046728408360,046728408360,046728408360,MP-F barcode,00810062780488,-,-,,-,-,,-,-,-,-,-,-,,,,,,https://docs.google.com/document/d/1Rb7aqMbtGSJGW1-5kfCkVxHB2-o8X1tUI0VO-OJ8xQc/edit?usp=sharing,https://docs.google.com/document/d/1p091LvlA_u4aH8XDxDpPDVr8TOGfHAaCytX38IfyBsI/edit?usp=sharing,-,-,MP-F,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,"Mattress Protector
Queen (US/CA/SG/MX)",BRONZE,https://www.amazon.com/dp/B074V2VCV2,-,https://www.amazon.ca/dp/B074V2VCV2,https://www.amazon.com.mx/dp/B074V2VCV2,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B074V2VCV2,B074V2VCV2,EC-MPQ,FNSKU,X001JGJM2H,046728408377,046728408377,046728408377,MP-Q barcode,00810062780495,-,-,,-,-,,-,-,-,-,-,-,,,,,,https://docs.google.com/document/d/1Rb7aqMbtGSJGW1-5kfCkVxHB2-o8X1tUI0VO-OJ8xQc/edit?usp=sharing,https://docs.google.com/document/d/1p091LvlA_u4aH8XDxDpPDVr8TOGfHAaCytX38IfyBsI/edit?usp=sharing,-,-,MP-Q,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,"Mattress Protector
King (US/CA/SG/MX)",BRONZE,https://www.amazon.com/dp/B074V49LPM,-,https://www.amazon.ca/dp/B074V49LPM,https://www.amazon.com.mx/dp/B074V49LPM,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B074V49LPM,B074V49LPM,EC-MPK,FNSKU,X001JGXRDR,046728408384,046728408384,046728408384,MP-K barcode,00810062780501,-,-,,-,-,,-,-,-,-,-,-,,,,,,https://docs.google.com/document/d/1Rb7aqMbtGSJGW1-5kfCkVxHB2-o8X1tUI0VO-OJ8xQc/edit?usp=sharing,https://docs.google.com/document/d/1p091LvlA_u4aH8XDxDpPDVr8TOGfHAaCytX38IfyBsI/edit?usp=sharing,-,-,MP-K,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,"Mattress Protector
California King (US/CA/SG/MX)",BRONZE,https://www.amazon.com/dp/B074V49ZXL,-,https://www.amazon.ca/dp/B074V49ZXL,https://www.amazon.com.mx/dp/B074V49ZXL,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B074V49ZXL,B074V49ZXL,EC-MPCK,FNSKU,X001JGWXMD,046728408391,046728408391,046728408391,MP-CK barcode,00810062780518,-,-,,-,-,,-,-,-,-,-,-,,,,,,https://docs.google.com/document/d/1Rb7aqMbtGSJGW1-5kfCkVxHB2-o8X1tUI0VO-OJ8xQc/edit?usp=sharing,https://docs.google.com/document/d/1p091LvlA_u4aH8XDxDpPDVr8TOGfHAaCytX38IfyBsI/edit?usp=sharing,-,-,MP-CK,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,"Mattress Protector 
Single (UK)",,-,,-,-,https://www.amazon.de/dp/B07SW1H82G,https://www.amazon.it/dp/B07SW1H82G,https://www.amazon.es/dp/B07SW1H82G,https://www.amazon.fr/dp/B07SW1H82G,https://www.amazon.pl/dp/B07SW1H82G,https://www.amazon.pl/dp/B07SW1H82G,https://www.amazon.nl/dp/B07SW1H82G,https://www.amazon.com.tr/dp/B07SW1H82G,-,-,-,-,-,-,-,-,-,-,B07SW1H82G,MP-S-UK,FNSKU,X0011ADKI5,850004566152,MP-S-UK barcode,B07SW1H82G,MP-S-UK,FNSKU,X0011ADKI5,850004566152,MP-S-UK barcode,,,,,,-,-,https://docs.google.com/document/d/1YtLVmUS3CcV3lO5Zo9mf5rGWkgvuQOKdIBNVBLdFYpc/edit?usp=sharing,-,MP-S,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,"Mattress Protector 
Double (UK)",,-,https://www.amazon.co.uk/dp/B07SRW3959,-,-,https://www.amazon.de/dp/B07SRW3959,https://www.amazon.it/dp/B07SRW3959,https://www.amazon.es/dp/B07SRW3959,https://www.amazon.fr/dp/B07SRW3959,https://www.amazon.pl/dp/B07SRW3959,https://www.amazon.pl/dp/B07SRW3959,https://www.amazon.nl/dp/B07SRW3959,https://www.amazon.com.tr/dp/B07SRW3959,-,-,-,-,-,-,-,-,-,-,B07SRW3959,MP-D-UK,FNSKU,X0011BS47L,850004566169,MP-D-UK barcode,B07SRW3959,MP-D-UK,FNSKU,X0011BS47L,850004566169,MP-D-UK barcode,,,,,,-,-,https://docs.google.com/document/d/1pxk6b3oQLHAXz1LHffGzNnLHh_5WOQhJdCAjnLmsSQk/edit?usp=sharing,-,MP-D,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,"Mattress Protector 
King (UK)",,-,https://www.amazon.co.uk/dp/B07SW1JMRK,-,-,https://www.amazon.de/dp/B07SW1JMRK,https://www.amazon.it/dp/B07SW1JMRK,https://www.amazon.es/dp/B07SW1JMRK,https://www.amazon.fr/dp/B07SW1JMRK,https://www.amazon.pl/dp/B07SW1JMRK,https://www.amazon.pl/dp/B07SW1JMRK,https://www.amazon.nl/dp/B07SW1JMRK,https://www.amazon.com.tr/dp/B07SW1JMRK,-,-,-,-,-,-,-,-,-,-,B07SW1JMRK,MP-K-UK,FNSKU,X00119BBRN,850004566176,MP-K-UK barcode,B07SW1JMRK,MP-K-UK,FNSKU,X00119BBRN,850004566176,MP-K-UK barcode,,,,,,-,-,https://docs.google.com/document/d/1pxk6b3oQLHAXz1LHffGzNnLHh_5WOQhJdCAjnLmsSQk/edit?usp=sharing,-,MP-K,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,"Mattress Protector 
Super King (UK)",,-,https://www.amazon.co.uk/dp/B07SRW26Z3,-,-,https://www.amazon.de/dp/B07SRW26Z3,https://www.amazon.it/dp/B07SRW26Z3,https://www.amazon.es/dp/B07SRW26Z3,https://www.amazon.fr/dp/B07SRW26Z3,https://www.amazon.pl/dp/B07SRW26Z3,https://www.amazon.pl/dp/B07SRW26Z3,https://www.amazon.nl/dp/B07SRW26Z3,https://www.amazon.com.tr/dp/B07SRW26Z3,-,-,-,-,-,-,-,-,-,-,B07SRW26Z3,MP- SP-UK,FNSKU,X0011DDDB1,850004566183,MP- SP-UK barcode,B07SRW26Z3,MP- SP-UK,FNSKU,X0011DDDB1,850004566183,MP- SP-UK barcode,,,,,,-,-,https://docs.google.com/document/d/1pxk6b3oQLHAXz1LHffGzNnLHh_5WOQhJdCAjnLmsSQk/edit?usp=sharing,-,MP-CK,MP,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
23,Airplane Footrest,BRONZE,https://www.amazon.com/dp/B086TXRD3C,https://www.amazon.co.uk/dp/B086TXRD3C,https://www.amazon.ca/dp/B086TXRD3C,https://www.amazon.com.mx/dp/B086TXRD3C,https://www.amazon.de/dp/B086TXRD3C,https://www.amazon.it/dp/B086TXRD3C,https://www.amazon.es/dp/B086TXRD3C,https://www.amazon.fr/dp/B086TXRD3C,https://www.amazon.pl/dp/B086TXRD3C,https://www.amazon.pl/dp/B086TXRD3C,https://www.amazon.nl/dp/B086TXRD3C,-,https://www.amazon.co.jp/dp/B086TXRD3C,B086TXRD3C,AFR,FNSKU,X002I4AOFD,850004566756,850004566756,850004566756,AFR barcode,00810062780976,B086TXRD3C,AFR,FNSKU,X0017ELTPV,850004566756,AFR barcode,B086TXRD3C,AFR,FNSKU,X0017ELTPV,850004566756,AFR barcode,,,,,,https://docs.google.com/document/d/1VG2gM6nYRtxVQlU-pPXhtUtA94fPtQwQ-2eUgeW9HyE/edit?usp=sharing,-,-,-,AFR,AFR,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,NO
