 set,,,GENERAL INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,NAME,US TIER LIST,US,UK,CA,MX,DE,IT,ES,FR,SE,PL,NL,TR,JP,ASIN (US/CA/MX),SKU (US/CA/MX),"PRODUCT INDENTIFIER
(US/CA/MX)",FNSKU (US/CA/MX),UPC (US),UPC (CA),UPC (MX),"PRODUCT BARCODE 
(US/CA/MX)",GTIN,ASIN (UK/TR),SKU (UK),"PRODUCT INDENTIFIER
(UK)",FNSKU (UK),UPC/ EAN (UK),"PRODUCT BARCODE 
(UK)",ASIN (EU/TR),SKU (EU),"PRODUCT INDENTIFIER
(EU)",FNSKU (EU),UPC (EU),"PRODUCT BARCODE 
(EU)",ASIN (JP),"PRODUCT INDENTIFIER
(JP)",FNSKU (JP),UPC (JP),"PRODUCT BARCODE 
(JP)",CARE LABELS US,CARE LABELS CA,CARE LABELS UK,CARE LABELS EU,SHORT NAME,,UPLOADED ON AMZ,,,,,,,,,,,,,UPLOADED ON YT
4,Back Cushion Blue,PLATINUM,https://www.amazon.com/dp/B07T86CZ4T,-,-,https://www.amazon.com.mx/dp/B07T86CZ4T,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07T86CZ4T,B07T86CZ4T,BC-BL,FNSKU,X0027YX0YB,850004566275,850004566275,850004566275,BC-Blue barcode,00810062780983,B07T86CZ4T,BC-BL,FNSKU,X001CXC94H,850004566275,BC-BL barcode,B07T86CZ4T,BC-BL,FNSKU,X001CXC94H,B07T86CZ4T,BC-BL barcode,B07T86CZ4T,FNSKU,X000Z2ZETP,850004566275,file,https://docs.google.com/document/d/1mxis4SzZ8sX1tciWvg7OelauKPAwgILqRbhPdxrUfhk/edit?usp=sharing,https://docs.google.com/document/d/1_ko_H3X6lNWu0GjumTqdJN4JkYH6jNWFIew2cZCYrUI/edit?usp=sharing,https://docs.google.com/document/d/1mH1OQ893fPi978ZvJImq5OTrTJPkA1M9qlZsvv4IWNE/edit?usp=sharing,-,BC-BL,BC,,,,,,,,,,,,,,
4,Back Cushion Gray,PLATINUM,https://www.amazon.com/dp/B07VBJTNFC,-,-,https://www.amazon.com.mx/dp/B07VBJTNFC,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07VBJTNFC,B07VBJTNFC,"	
BC-G",FNSKU,X002928FAP,850004566305,850004566305,850004566305,BC-Gray barcode,00810062780990,B07VBJTNFC,"	
BC-G",FNSKU,X001CXFFJD,850004566305,"	
BC-G barcode",B07VBJTNFC,"	
BC-G",FNSKU,X001CXFFJD,B07VBJTNFC,"	
BC-G barcode",B07VBJTNFC,FNSKU,X000Z2YATF,850004566305,file,https://docs.google.com/document/d/1mxis4SzZ8sX1tciWvg7OelauKPAwgILqRbhPdxrUfhk/edit?usp=sharing,https://docs.google.com/document/d/1_ko_H3X6lNWu0GjumTqdJN4JkYH6jNWFIew2cZCYrUI/edit?usp=sharing,https://docs.google.com/document/d/1mH1OQ893fPi978ZvJImq5OTrTJPkA1M9qlZsvv4IWNE/edit?usp=sharing,-,BC-G,BC,,,,,,,,,,,,,,
4,Back Cushion Navy Blue,PLATINUM,https://www.amazon.com/dp/B07TCCDR9K,-,-,https://www.amazon.com.mx/dp/B07TCCDR9K,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07TCCDR9K,B07TCCDR9K,BC-NB,FNSKU,X0027UDELJ,850004566282,850004566282,850004566282,BC-Navy Blue barcode,00810062781003,B07TCCDR9K,BC-NB,FNSKU,X001CXFFM5,850004566282,BC-NB barcode,B07TCCDR9K,BC-NB,FNSKU,X001CXFFM5,B07TCCDR9K,BC-NB barcode,B07TCCDR9K,FNSKU,X000Z2YDZB,850004566282,file,https://docs.google.com/document/d/1mxis4SzZ8sX1tciWvg7OelauKPAwgILqRbhPdxrUfhk/edit?usp=sharing,https://docs.google.com/document/d/1_ko_H3X6lNWu0GjumTqdJN4JkYH6jNWFIew2cZCYrUI/edit?usp=sharing,https://docs.google.com/document/d/1mH1OQ893fPi978ZvJImq5OTrTJPkA1M9qlZsvv4IWNE/edit?usp=sharing,-,BC-NB,BC,,,,,,,,,,,,,,
4,Back Cushion Red,PLATINUM,https://www.amazon.com/dp/B07TBBLCMK,-,-,https://www.amazon.com.mx/dp/B07TBBLCMK,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B07TBBLCMK,B07TBBLCMK,BC-R,FNSKU,X0027WBR6V,850004566299,850004566299,850004566299,BC-Red barcode,00810062781010,B07TBBLCMK,BC-R,FNSKU,X001CXGW13,850004566299,BC-R barcode,B07TBBLCMK,BC-R,FNSKU,X001CXGW13,B07TBBLCMK,BC-R barcode,B07TBBLCMK,FNSKU,X000Z2Z3JB,850004566299,file,https://docs.google.com/document/d/1mxis4SzZ8sX1tciWvg7OelauKPAwgILqRbhPdxrUfhk/edit?usp=sharing,https://docs.google.com/document/d/1_ko_H3X6lNWu0GjumTqdJN4JkYH6jNWFIew2cZCYrUI/edit?usp=sharing,https://docs.google.com/document/d/1mH1OQ893fPi978ZvJImq5OTrTJPkA1M9qlZsvv4IWNE/edit?usp=sharing,-,BC-R,BC,,,,,,,,,,,,,,
5,Wedge Cushion,BRONZE,https://www.amazon.com/dp/B075DRS4C9,https://www.amazon.co.uk/dp/B075DRS4C9,https://www.amazon.ca/dp/B075DRS4C9,https://www.amazon.com.mx/dp/B075DRS4C9,https://www.amazon.de/dp/B075DRS4C9,https://www.amazon.it/dp/B075DRS4C9,https://www.amazon.es/dp/B075DRS4C9,https://www.amazon.fr/dp/B075DRS4C9,-,https://www.amazon.pl/dp/B075DRS4C9,https://www.amazon.nl/dp/B075DRS4C9,-,https://www.amazon.co.jp/dp/B075DRS4C9,B075DRS4C9,3I-GX1T-3CM5,FNSKU,X001KB32R7,046728408414,046728408414,046728408414,WC barcode,00810062780525,B075DRS4C9,EC-WC-EU,FNSKU,X0016D4NBP,,EC-WC-EU barcode,B075DRS4C9,EC-WC-EU,FNSKU,X0016D4NBP,046728408438,EC-WC-EU barcode,B075DRS4C9,FNSKU,X000ZJG6IL,046728408414,file,https://docs.google.com/document/d/1-dgqcj2L0d8I3chUtMrpPcdYQqn_7w54wdmOHqlgsZs/edit?usp=sharing,https://docs.google.com/document/d/1Z4ZdAQwloaVCIaX0ffFEzst6KRI2CkrC-sctPCOMuAI/edit?usp=sharing,https://docs.google.com/document/d/14qp0gpKF-e1SDTnnNPK9IXyyms185WoOOPx1kSZsCD4/edit?usp=sharing,-,WC,WC,YES,YES,NO,NO,NO,NO,NO,NO,-,NO,NO,-,NO,YES
6,Knee Pillow,BRONZE,https://www.amazon.com/dp/B07995B8L1,https://www.amazon.co.uk/dp/B07995B8L1,https://www.amazon.ca/dp/B07995B8L1,https://www.amazon.com.mx/dp/B07995B8L1,https://www.amazon.de/dp/B07995B8L1,https://www.amazon.it/dp/B07995B8L1,https://www.amazon.es/dp/B07995B8L1,https://www.amazon.fr/dp/B07995B8L1,-,-,https://www.amazon.nl/dp/B07995B8L1,https://www.amazon.com.tr/dp/B07995B8L1,https://www.amazon.co.jp/dp/B07995B8L1,B07995B8L1,EC-KPW,FNSKU,X001EBA7AX,046728408032,046728408032,046728408032,KP barcode,00810062780303,B07995B8L1,KP,FNSKU,X0016MRW2D,046728408469,KP barcode,B07995B8L1,KP,FNSKU,X0016MRW2D,B07995B8L1,KP barcode,B07995B8L1,FNSKU,X000Z2EGNP,046728408469,file,https://docs.google.com/document/d/1SUYeFeIXsrzawxPtYTnKOHVE4U8KzBi3IXU12pWFilQ/edit?usp=sharing,https://docs.google.com/document/d/1Rr2hPvYVO7sAUcQF-mFPa1c-W6M-cChikH-32qRLunA/edit?usp=sharing,https://docs.google.com/document/d/1tVQW5auARa6bMge1OzBfoOVgvCGkoq33pDUqpZWM7Lw/edit?usp=sharing,-,KP,KP,YES,YES,NO,NO,NO,NO,NO,NO,-,-,NO,NO,NO,YES
7,Knee Pillow,BRONZE,https://www.amazon.com/dp/B07JP3B5VL,https://www.amazon.co.uk/dp/B07JP3B5VL,https://www.amazon.ca/dp/B07JP3B5VL,https://www.amazon.com.mx/dp/B07JP3B5VL,https://www.amazon.de/dp/B07JP3B5VL,https://www.amazon.it/dp/B07JP3B5VL,https://www.amazon.es/dp/B07JP3B5VL,https://www.amazon.fr/dp/B07JP3B5VL,-,-,-,https://www.amazon.com.tr/dp/B07JP3B5VL,https://www.amazon.co.jp/dp/B07JP3B5VL,B07JP3B5VL,SC-GI,FNSKU,X001XMUDAH,810062780020,810062780020,810062780020,SC-Gel barcode,00810062780020,B07JP3B5VL,SC-GI,FNSKU,X001CXC0VT,810062780020,SC-GI barcode,B07JP3B5VL,SC-GI,FNSKU,X001CXC0VT,B07JP3B5VL,SC-GI barcode,B07JP3B5VL,,,,,https://docs.google.com/document/d/1YWZmf69ZaCGdFSDcRFX7fWTCc82ugkPG5YcwY3TCAUo/edit?usp=sharing,https://docs.google.com/document/d/1d66-hfzOWErJ0znalgl0CHdsw8_HsoC-R8BduQ8XT2g/edit?usp=sharing,https://docs.google.com/document/d/17pZfl1t31zSu7ssLlza1MMtNzvo9qWwgsjX2COs1V5w/edit?usp=sharing,-,SC-GI,SC-GI,YES,NO,NO,NO,NO,NO,NO,NO,-,-,-,NO,NO,YES
8,Office Chair Gel Infused,DIRT,https://www.amazon.com/dp/B08V3T5GLJ,-,https://www.amazon.ca/dp/B08V3T5GLJ,https://www.amazon.com.mx/dp/B08V3T5GLJ,-,-,-,-,-,-,-,-,https://www.amazon.co.jp/dp/B08V3T5GLJ,B08V3T5GLJ,OCC,UPC,B08V3T5GLJ,850004566879,850004566880,850004566881,OCC barcode,00850004566879,-,-,-,-,-,,B08V3T5GLJ,-,-,-,-,-,B08V3T5GLJ,FNSKU,X000Z2E5DL,850004566879,file,https://docs.google.com/document/d/19pAcnz3K0ZRUSfK7yrQgsfMNMwuvkGs-utEDbTtlSB0/edit?usp=sharing,-,-,-,OCC,OCC,YES,-,-,NO,-,-,-,-,-,-,-,-,NO,NO
9,"Wheelchair Cushion 
Gel Infused",DIRT,https://www.amazon.com/dp/B07LB8TRL3,https://www.amazon.co.uk/dp/B07LB8TRL3,https://www.amazon.ca/dp/B07LB8TRL3,https://www.amazon.com.mx/dp/B07LB8TRL3,https://www.amazon.de/dp/B07LB8TRL3,https://www.amazon.it/dp/B07LB8TRL3,https://www.amazon.es/dp/B07LB8TRL3,https://www.amazon.fr/dp/B07LB8TRL3,https://www.amazon.pl/dp/B07LB8TRL3,https://www.amazon.pl/dp/B07LB8TRL3,https://www.amazon.nl/dp/B07LB8TRL3,-,https://www.amazon.co.jp/dp/B07LB8TRL3,B07LB8TRL3,WCC,FNSKU,X0020B8XPR,850004566008,850004566008,850004566008,WCC barcode,00810062781027,B07LB8TRL3,WCC,FNSKU,X0016MRW6T,850004566008,WCC barcode,B07LB8TRL3,WCC,FNSKU,X0016MRW6T,B07LB8TRL3,WCC barcode,,,,,,https://docs.google.com/document/d/1yjCH76sPpS9n9BDTC4yG7HJgSHsq0ucMsIOFDe2QZok/edit?usp=sharing,https://docs.google.com/document/d/10l9U3T9PVrfAuqyj9MiveJH-Ar9MWANRoraWk796Zf8/edit?usp=sharing,https://docs.google.com/document/d/1gqv8zb1NwS4dANnNeMivrXKL7CqHMLP0Y7p2gAs_zvM/edit?usp=sharing,-,WCC,WCC,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,-,NO,YES
10,Half Moon Pillow,BRONZE,https://www.amazon.com/dp/B07NPTXTFV,https://www.amazon.co.uk/dp/B07NPTXTFV,https://www.amazon.ca/dp/B07NPTXTFV,https://www.amazon.com.mx/dp/B07NPTXTFV,https://www.amazon.de/dp/B07NPTXTFV,https://www.amazon.it/dp/B07NPTXTFV,https://www.amazon.es/dp/B07NPTXTFV,-,-,-,-,-,https://www.amazon.co.jp/dp/B07NPTXTFV,B07NPTXTFV,HMP,FNSKU,X0022GNKSZ,850004566015,850004566015,850004566015,HMP barcode,00810062781034,B07NPTXTFV,HMP,FNSKU,X001CXFHMN,850004566015,HMP barcode,B07NPTXTFV,HMP,FNSKU,X001CXFHMN,"	
B07NPTXTFV",HMP barcode,,,,,,https://docs.google.com/document/d/15HafLHgZNioVLAe068ZMbwwuvjw-E1FayKho6SKcMz4/edit?usp=sharing,https://docs.google.com/document/d/1a3QkbThiDyHXu2btBejDxOh8NI1_7gkPH5mIdMclx-4/edit?usp=sharing,https://docs.google.com/document/d/1sO_97kLqX55g5NOh9yyyRjNfiImhtGVTRlt6KG4DKAM/edit?usp=sharing,-,HMP,HMP,YES,NO,NO,NO,NO,NO,NO,-,-,-,-,-,NO,YES
